Model,Seed,Accuracy,Precision,Recall,F1,ROC-AUC,Specificity,Train Time,Predict Time,CV Mean,CV Std
Logistic Regression,42,0.8153409090909091,0.6628571428571428,0.6203208556149733,0.6408839779005525,0.8560700876095118,0.8858800773694391,1.6590341000119224,0.0023086000001057982,0.8024888888888888,0.011622370935951047
LDA,42,0.8039772727272727,0.64,0.5989304812834224,0.6187845303867403,0.8471850143257584,0.8781431334622823,0.019980399985797703,0.0018583000637590885,0.7955555555555557,0.015189339991675585
KNN,42,0.7528409090909091,0.5436241610738255,0.43315508021390375,0.48214285714285715,0.7409830469905563,0.8684719535783365,0.004067900008521974,2.1606869000243023,0.7639111111111111,0.00770005611651829
Gaussian Naive Bayes,42,0.6605113636363636,0.4319371727748691,0.8823529411764706,0.5799648506151143,0.8294252112661489,0.5802707930367504,0.006474400055594742,0.0016568999271839857,0.6689777777777778,0.0068990605909092775
Decision Tree,42,0.7386363636363636,0.5083798882681564,0.48663101604278075,0.4972677595628415,0.6577126366635981,0.8297872340425532,0.031188199995085597,0.0016920999623835087,0.7344,0.008661993041834576
Random Forest,42,0.8011363636363636,0.6441717791411042,0.5614973262032086,0.6,0.8323213934773839,0.8878143133462283,0.6360960999736562,0.023657200043089688,0.7841777777777778,0.007938529266405724
SVM,42,0.7713068181818182,0.5866666666666667,0.47058823529411764,0.5222551928783383,0.7961294593448422,0.8800773694390716,8.359274499933235,0.2678516000742093,0.7834666666666666,0.01034477264069418
AdaBoost,42,0.8053977272727273,0.6644736842105263,0.5401069518716578,0.5958702064896755,0.8604143609263645,0.9013539651837524,0.37793720001354814,0.015199300018139184,0.7968000000000001,0.013868945681665489
Gradient Boosting,42,0.7982954545454546,0.643312101910828,0.5401069518716578,0.5872093023255814,0.8601092274433952,0.8916827852998066,1.1164054999826476,0.0030721999937668443,0.7987555555555554,0.013581105247846607
MLP,42,0.5426136363636364,0.35607675906183367,0.893048128342246,0.5091463414634146,0.6852263676703317,0.4158607350096712,0.6809683999745175,0.002737300004810095,0.7614222222222222,0.05099031135276438
Logistic Regression,100,0.7869318181818182,0.6057142857142858,0.5668449197860963,0.585635359116022,0.8272530746077223,0.8665377176015474,2.777750499895774,0.0020797000033780932,0.8040888888888889,0.008899549163224062
LDA,100,0.7826704545454546,0.5934065934065934,0.5775401069518716,0.5853658536585366,0.8251326554887825,0.8568665377176016,0.019823400070890784,0.0018832999048754573,0.7971555555555556,0.007295390054642921
KNN,100,0.7571022727272727,0.5493827160493827,0.47593582887700536,0.5100286532951289,0.751124856483828,0.8588007736943907,0.004054800025187433,0.03407559997867793,0.7685333333333334,0.007822222222222218
Gaussian Naive Bayes,100,0.6491477272727273,0.422680412371134,0.8770053475935828,0.5704347826086956,0.8147167430362332,0.5667311411992263,0.007922700024209917,0.002373000024817884,0.6648888888888889,0.011779035572250636
Decision Tree,100,0.7301136363636364,0.49230769230769234,0.5133689839572193,0.5026178010471204,0.6599985519088944,0.8085106382978723,0.03990850003901869,0.001979899941943586,0.7214222222222222,0.017942349378901535
Random Forest,100,0.7755681818181818,0.5960264900662252,0.48128342245989303,0.5325443786982249,0.8188179439175002,0.8820116054158608,0.8179023000411689,0.030524199944920838,0.7934222222222223,0.010390498983966214
SVM,100,0.765625,0.5763888888888888,0.44385026737967914,0.5015105740181269,0.7652334012557018,0.8820116054158608,8.139257299946621,0.3271495000226423,0.7834666666666668,0.005638667209654664
AdaBoost,100,0.7954545454545454,0.6387096774193548,0.5294117647058824,0.5789473684210527,0.8335936449487479,0.8916827852998066,0.369330000015907,0.014981099986471236,0.8,0.006360371135999406
Gradient Boosting,100,0.7840909090909091,0.6129032258064516,0.5080213903743316,0.5555555555555556,0.8349176139595982,0.8839458413926499,1.1359932000050321,0.003444999922066927,0.8023111111111112,0.007124431967827164
MLP,100,0.6789772727272727,0.4444444444444444,0.8342245989304813,0.5799256505576208,0.7747494285211886,0.6228239845261122,0.673487100051716,0.0023118999088183045,0.7560888888888889,0.060553104945316544
Logistic Regression,2026,0.8196022727272727,0.6973684210526315,0.5668449197860963,0.6253687315634219,0.8437044239183277,0.9110251450676983,1.5315140000311658,0.0016100999200716615,0.8037333333333333,0.00866199304183455
LDA,2026,0.7940340909090909,0.6381578947368421,0.5187165775401069,0.5722713864306784,0.833733282305361,0.8936170212765957,0.019366399967111647,0.0018486999906599522,0.7962666666666667,0.010094271691789065
KNN,2026,0.7798295454545454,0.6159420289855072,0.45454545454545453,0.5230769230769231,0.7576154076893638,0.8974854932301741,0.00480190000962466,0.028001700062304735,0.7651555555555556,0.005072121819622083
Gaussian Naive Bayes,2026,0.6690340909090909,0.43915343915343913,0.8877005347593583,0.5876106194690266,0.8276202691380754,0.5899419729206963,0.006645399960689247,0.002116799936629832,0.6695111111111112,0.0170833252032501
Decision Tree,2026,0.7301136363636364,0.49162011173184356,0.47058823529411764,0.4808743169398907,0.6494895478852698,0.8239845261121856,0.04217290005180985,0.0021808999590575695,0.7217777777777779,0.010472303271127572
Random Forest,2026,0.796875,0.6617647058823529,0.48128342245989303,0.5572755417956656,0.8311215465613008,0.9110251450676983,0.8111005000537261,0.028223500004969537,0.7904,0.008096211581678725
SVM,2026,0.7897727272727273,0.656,0.4385026737967914,0.5256410256410257,0.8107500077576311,0.9168278529980658,7.589742800104432,0.3341976999072358,0.7800888888888889,0.004154069847305935
AdaBoost,2026,0.8082386363636364,0.6857142857142857,0.5133689839572193,0.5871559633027523,0.8521033523309095,0.9148936170212766,0.3787027000216767,0.01499090006109327,0.7989333333333335,0.006778907009755587
Gradient Boosting,2026,0.8053977272727273,0.676056338028169,0.5133689839572193,0.5835866261398176,0.8471798425718098,0.9110251450676983,1.1165836999425665,0.0030234999721869826,0.7996444444444444,0.004303544333123643
