Model,Accuracy,Precision,Recall,F1,ROC-AUC,Specificity,CV Mean,CV Std,Train Time,Predict Time
Logistic Regression,0.8072916666666666,0.6553132832080201,0.5846702317290553,0.6172960228599988,0.8423425287118539,0.8878143133462283,0.8034370370370371,0.009727971047003167,1.9894328666462873,0.0019994666411851
LDA,0.7935606060606061,0.6238548293811452,0.5650623885918004,0.5921405901586517,0.8353503173733007,0.8762088974854931,0.796325925925926,0.0108596672460358,0.019723400007933333,0.0018634333197647668
AdaBoost,0.8030303030303031,0.6629658824480557,0.5276292335115865,0.5873245127378268,0.848703786068674,0.9026434558349452,0.7985777777777779,0.009002741275806766,0.37532330001704395,0.015057100021901165
Gaussian Naive Bayes,0.6595643939393939,0.4312570080998141,0.8823529411764706,0.5793367508976122,0.8239207411468191,0.5789813023855577,0.6677925925925926,0.011920473788803301,0.0070141666801646005,0.0020488999628771667
Gradient Boosting,0.7959280303030303,0.6440905552484829,0.5204991087344029,0.5754504946736515,0.847402227991601,0.895551257253385,0.800237037037037,0.008336360516265767,1.1229941333100821,0.0031802332960068663
Random Forest,0.7911931818181818,0.6339876583632275,0.5080213903743315,0.5632733068312968,0.8274202946520616,0.8936170212765958,0.7893333333333333,0.0088084132773502,0.7550329666895171,0.027468299997659967
MLP,0.6732954545454546,0.5159246502530085,0.6969696969696969,0.5260935417048536,0.7336322607115644,0.6647324306898775,0.7500444444444444,0.07729112199287659,0.7112380333710462,0.003663299954496267
SVM,0.7755681818181818,0.6063518518518518,0.4509803921568627,0.5164689308458303,0.7907042894527251,0.8929722759509994,0.7823407407407408,0.006712503232551533,8.02942486666143,0.3097329333346958
KNN,0.7632575757575757,0.5696496353695718,0.45454545454545453,0.5050828111716363,0.749907770387916,0.8749194068343004,0.7658666666666667,0.006864800052787466,0.004308200014444634,0.7409214000217617
Decision Tree,0.7329545454545454,0.4974358974358974,0.49019607843137253,0.4935866258499509,0.6557335788192541,0.8207607994842037,0.7258666666666667,0.012358881897287835,0.0377565333619713,0.0019509666211281666
