,Accuracy,Accuracy,Accuracy,Accuracy,Precision,Precision,Precision,Precision,Recall,Recall,Recall,Recall,F1,F1,F1,F1,ROC-AUC,ROC-AUC,ROC-AUC,ROC-AUC
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
Model,,,,,,,,,,,,,,,,,,,,
AdaBoost,0.8030303030303031,0.0067128062872906695,0.7954545454545454,0.8082386363636364,0.6629658824480557,0.02353855135423915,0.6387096774193548,0.6857142857142857,0.5276292335115865,0.013457815392639492,0.5133689839572193,0.5401069518716578,0.5873245127378268,0.008462677989753328,0.5789473684210527,0.5958702064896755,0.848703786068674,0.013729730130869006,0.8335936449487479,0.8604143609263645
Decision Tree,0.7329545454545454,0.00492059888513886,0.7301136363636364,0.7386363636363636,0.4974358974358974,0.009484007236632497,0.4916201117318435,0.5083798882681564,0.49019607843137253,0.021612042162178567,0.4705882352941176,0.5133689839572193,0.4935866258499509,0.011329511654942281,0.4808743169398907,0.5026178010471204,0.6557335788192541,0.005526960634524571,0.6494895478852698,0.6599985519088944
Gaussian Naive Bayes,0.6595643939393939,0.009976944841716623,0.6491477272727273,0.6690340909090909,0.4312570080998141,0.00825754932359046,0.422680412371134,0.4391534391534391,0.8823529411764706,0.005347593582887722,0.8770053475935828,0.8877005347593583,0.5793367508976122,0.008605127826158118,0.5704347826086956,0.5876106194690266,0.8239207411468191,0.008021822731535278,0.8147167430362332,0.8294252112661489
Gradient Boosting,0.7959280303030303,0.010848900792982587,0.7840909090909091,0.8053977272727273,0.6440905552484829,0.03158375196238385,0.6129032258064516,0.676056338028169,0.5204991087344029,0.017190108308365388,0.5080213903743316,0.5401069518716578,0.5754504946736515,0.01732447394789473,0.5555555555555556,0.5872093023255814,0.847402227991601,0.012597279029038701,0.8349176139595982,0.8601092274433952
KNN,0.7632575757575757,0.014509046823905863,0.7528409090909091,0.7798295454545454,0.5696496353695718,0.04019365023074106,0.5436241610738255,0.6159420289855072,0.45454545454545453,0.021390374331550818,0.4331550802139037,0.4759358288770053,0.5050828111716363,0.02091041496973461,0.4821428571428571,0.5230769230769231,0.749907770387916,0.008382710154088325,0.7409830469905563,0.7576154076893638
LDA,0.7935606060606061,0.010661297584467492,0.7826704545454546,0.8039772727272727,0.6238548293811452,0.02638502687930467,0.5934065934065934,0.64,0.5650623885918004,0.04153718430563646,0.5187165775401069,0.5989304812834224,0.5921405901586517,0.023985223183323242,0.5722713864306784,0.6187845303867403,0.8353503173733007,0.011114753005663116,0.8251326554887825,0.8471850143257584
Logistic Regression,0.8068181818181818,0.016381480958339214,0.7883522727272727,0.8196022727272727,0.6545688934981131,0.04414282813404686,0.6091954022988506,0.6973684210526315,0.5828877005347594,0.02778691135137234,0.5668449197860963,0.6149732620320856,0.6159951551046844,0.025383783922858467,0.5872576177285319,0.6353591160220995,0.8424149332671349,0.014922363014513976,0.8267876167523455,0.8565148584490944
MLP,0.6732954545454546,0.12793557101361022,0.5426136363636364,0.7982954545454546,0.5159246502530085,0.2051505015862999,0.3560767590618336,0.7472527472527473,0.6969696969696969,0.2901695801362499,0.3636363636363636,0.893048128342246,0.5260935417048536,0.04767389234594578,0.4892086330935252,0.5799256505576208,0.7336322607115644,0.045204410654857204,0.6852263676703317,0.7747494285211886
Random Forest,0.7911931818181818,0.013698367558228668,0.7755681818181818,0.8011363636363636,0.6339876583632275,0.03403183056618806,0.5960264900662252,0.6617647058823529,0.5080213903743315,0.04631151891895399,0.481283422459893,0.5614973262032086,0.5632733068312968,0.034125431870807216,0.5325443786982249,0.6,0.8274202946520616,0.007473970616467245,0.8188179439175002,0.8323213934773839
SVM,0.734375,0.0,0.734375,0.734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7906973937807935,0.023259684000265294,0.7652023707320101,0.8107603512655283
